batchID,batchName,farmID,imeiNumber,templateID,integrator,sexing,male,female,nubmerofchicks,startDate,startDateTime,closeDate,terminationDate,rate,baccstatus,status,createdBy,createdDate,modifiedBy,modifiedDate
103,Batch 1,158,8.70E+14,TEMP013,NULL,no,0,0,1200,11/3/2023,11/3/2023 12:43,2/1/2024 12:00,NULL,NULL,NULL,CLOSED,digiadmin,3/11/2023,digiadmin,7/1/2024 13:18
108,Batch B32,164,8.70E+14,TEMP006,NULL,yes,15000,16500,31500,11/7/2023,11/7/2023 13:30,12/13/2023 19:34,NULL,NULL,NULL,CLOSED,adam,4/11/2023,adam,1/13/2024 19:36
109,Batch A32,163,8.70E+14,TEMP006,NULL,yes,16000,15500,31500,11/4/2023,11/7/2023 18:00,1/24/2024 18:21,NULL,NULL,NULL,CLOSED,adam,4/11/2023,adam,1/24/2024 18:21
110,ABIG18102023,165,8.70E+14,TEMP006,NULL,no,NULL,NULL,32000,10/16/2023,10/16/2023 16:20,11/26/2023 12:00,NULL,NULL,NULL,CLOSED,jimmy,4/11/2023,jimmy,12/17/2023 22:45
111,B1 Sara,168,8.70E+14,TEMP006,NULL,no,0,0,12000,11/6/2023,11/6/2023 12:32,11/19/2023 12:00,NULL,NULL,NULL,CLOSED,saravanar,6/11/2023,saravanar,11/20/2023 9:57
112,Batch 06/2023,169,8.70E+14,TEMP006,NULL,no,0,0,28000,11/17/2023,11/17/2023 12:41,12/25/2023 12:00,NULL,NULL,NULL,CLOSED,chenna,6/11/2023,chenna,1/7/2024 15:43
113,Batch31023,170,8.70E+14,TEMP006,NULL,no,NULL,NULL,15000,11/6/2023,11/6/2023 13:59,11/29/2023 12:00,NULL,NULL,NULL,CLOSED,arasu,6/11/2023,digiadmin,12/7/2023 13:05
114,Batch141023,171,8.70E+14,TEMP006,NULL,no,0,0,10000,11/6/2023,11/6/2023 15:08,1/12/2024 14:16,NULL,NULL,NULL,CLOSED,Rama,6/11/2023,Rama,1/12/2024 14:16
116,Batch19/10/23,172,8.70E+14,TEMP006,NULL,yes,12500,12500,25000,11/7/2023,11/7/2023 12:09,1/31/2024 9:32,NULL,NULL,NULL,CLOSED,Hakim,7/11/2023,Hakim,1/31/2024 9:32
117,B3 ppk,188,8.68E+14,TEMP006,NULL,no,NULL,NULL,30000,11/8/2023,11/13/2023 18:53,12/19/2023 12:00,NULL,NULL,NULL,CLOSED,klangat,8/11/2023,digiadmin,8/12/2025 10:21
